city,nightmarket_name,latitude,longitude,place_id,wt,url
宜蘭縣,頭城夜市,24.8560675,121.8215068,ChIJR5PTmkP3ZzQR9bakvlLCLjo,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: 5:30\u2009–\u200910:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",https://maps.google.com/?cid=4192501963770083061
宜蘭縣,南澳夜市,24.4065995,121.6739371,ChIJ24i8aRrYZzQRgFWmpW2XKjs,[],https://maps.google.com/?cid=4263386494445966720
宜蘭縣,三星夜市,24.6692328,121.6533414,ChIJYf6Wr7XhZzQRxCZxqlR46eY,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: 6:00\u2009–\u200910:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",https://maps.google.com/?cid=16638962603329136324
宜蘭縣,蘇澳夜市,24.5976633,121.8497364,ChIJwUTrMwDpZzQRcCZhLA1tK1s,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: Closed', 'Saturday: Closed', 'Sunday: 4:00\u2009–\u200910:00\u202fPM']",https://maps.google.com/?cid=6569464384796567152
宜蘭縣,馬賽夜市,24.6173286,121.8383557,ChIJa2giNFnoZzQRq9AT2ZWpVSg,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: Closed', 'Saturday: 6:30\u2009–\u20099:30\u202fPM', 'Sunday: Closed']",https://maps.google.com/?cid=2906415595594698923
宜蘭縣,礁溪溫泉夜市,24.8246874,121.75926,ChIJuUJusED7ZzQReB0LjiYL5Go,[],https://maps.google.com/?cid=7702293522930146680
苗栗縣,國泰夜市,24.560159,120.8214265,ChIJk9NaC4pUaDQRG4hgT-5vqMw,[],https://maps.google.com/?cid=14747160049149315099
苗栗縣,中港夜市,24.6838634,120.865424,ChIJAQDwhhyzaTQRgRytqEXPlmk,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 6:00\u2009–\u200910:00\u202fPM', 'Thursday: Closed', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']",https://maps.google.com/?cid=7608496518578642049
苗栗縣,建國路龍鳳夜市,24.6966436,120.9083375,ChIJ65lGv7tMaDQRu_-gfzMvcEQ,[],https://maps.google.com/?cid=4931493490201788347
苗栗縣,頭份建國夜市,24.697435,120.9065829,ChIJb1uAh7BMaDQRv7GuUfZwtPI,"['Monday: Closed', 'Tuesday: 4:00\u2009–\u200911:00\u202fPM', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: 4:00\u2009–\u200911:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",https://maps.google.com/?cid=17488727456221147583
苗栗縣,頭份尚順夜市,24.6882052,120.9046566,ChIJAfzBx8lMaDQRS0Y5rLIOXPo,"['Monday: 11:00\u202fAM\u2009–\u20099:30\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20099:30\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20099:30\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20099:30\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20099:30\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20099:30\u202fPM']",https://maps.google.com/?cid=18040310367895766603
苗栗縣,苗栗英才觀光夜市,24.5699173,120.8204987,ChIJj53DAg6saTQRKEGydnAMYAQ,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 5:00\u2009–\u200910:00\u202fPM', 'Thursday: Closed', 'Friday: 6:30\u2009–\u200911:30\u202fPM', 'Saturday: 5:00\u2009–\u200911:00\u202fPM', 'Sunday: 5:00\u2009–\u200910:00\u202fPM']",https://maps.google.com/?cid=315265651083198760
苗栗縣,公館夜市,24.5030321,120.8241954,ChIJdXvqdgCraTQRt55SwuazTDA,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: Closed', 'Saturday: 5:30\u2009–\u200910:00\u202fPM', 'Sunday: Closed']",https://maps.google.com/?cid=3480354415734595255
苗栗縣,後龍夜市,24.611946,120.7866665,ChIJQyVMY2GuaTQRTl4o_xJgbSs,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: Closed', 'Saturday: Closed', 'Sunday: 5:00\u2009–\u200911:00\u202fPM']",https://maps.google.com/?cid=3129262950798876238
